MGT_type,Clades,Lineages,Continents_70%,Source,Temporal,Outbreak,MDR_MGT-ST
MGT5_ST198,,,North America,,,,
MGT5_ST1983,,,,,,,MGT5_ST1983
MGT5_ST199,,,North America,,,,
MGT5_ST20,,,Europe,,,,
MGT5_ST2002,,,North America,,,,
MGT5_ST201,,,North America,,,,
MGT5_ST2043,,,North America,,,,
MGT5_ST2047,,,North America,,,,
MGT5_ST206,,,North America,,,,
MGT5_ST208,,,North America,,,,
MGT5_ST2080,,,Europe,,,,
MGT5_ST2098,,,Europe,,,,
MGT5_ST2192,,,Europe,,,,
MGT5_ST2193,,,Europe,,,,
MGT5_ST2199,,,Europe,,,,
MGT5_ST2209,,,Europe,,,,
MGT5_ST225,,,North America,,,,
MGT5_ST229,,,North America,,,,
MGT5_ST2378,,,North America,,,,
MGT5_ST238,,,North America,,,,
MGT5_ST2395,,,North America,,,,
MGT5_ST2398,,,North America,,,,
MGT5_ST24,,,Europe,,,,
MGT5_ST240,,,North America,,,,
MGT5_ST2423,,,Europe,,,,
MGT5_ST247,,,North America,,,,
MGT5_ST2471,,,,,,,MGT5_ST2471
MGT5_ST248,,,Europe,,,,
MGT5_ST25,,,Europe,,,,
MGT5_ST2500,,,Europe,,,,
MGT5_ST2566,,,,,,,
MGT5_ST257,,,Europe,,,,
MGT5_ST2571,,,Europe,,,,
MGT5_ST258,,,Europe,,,,
MGT5_ST2582,,,,,,,
MGT5_ST2586,,,Europe,,,,
MGT5_ST2601,,,Europe,,,,
MGT5_ST267,,,North America,,,,
MGT5_ST2676,,,Europe,,,,
MGT5_ST269,,,North America,,,,
MGT5_ST2729,,,,,,,MGT5_ST2729
MGT5_ST2734,,,Europe,,,,
MGT5_ST29,,,Europe,,,,
MGT5_ST2900,,,Europe,,,,
MGT5_ST298,,,Europe,,,,
MGT5_ST300,,,Europe,,,,
MGT5_ST305,,,Europe,,,,
MGT5_ST311,,,Europe,,,,
MGT5_ST315,,,Europe,,,,
MGT5_ST319,,,Europe,,,,
MGT5_ST321,,,Europe,,,,
MGT5_ST3222,,,North America,,,,
MGT5_ST323,,,Europe,,,,
MGT5_ST3253,,,North America,,,,
MGT5_ST3254,,,North America,,,,
MGT5_ST3261,,,North America,,,,
MGT5_ST3266,,,North America,,,,
MGT5_ST327,,,Europe,,,,
MGT5_ST33,,,Europe,,,,
MGT5_ST3300,,,North America,,,,
MGT5_ST3309,,,North America,,,,
MGT5_ST333,,,Europe,,,,
MGT5_ST3335,,,North America,,,,
MGT5_ST336,,,,,,,
MGT5_ST339,,,Europe,,,,
MGT5_ST34,,,,,,,
